Feature,Model,Best Params,CV Score
TF-IDF,LogReg,"{'clf__C': 10, 'vec__max_features': 10000}",0.9885855945338543
TF-IDF,RandomForest,"{'clf__n_estimators': 500, 'vec__max_features': 3000}",0.9859290942058113
TF-IDF,NaiveBayes,{},0.9453581787292814
TF-IDF,SVM,{},0.9703548638036456
BoW,LogReg,"{'clf__C': 1, 'vec__max_features': 10000}",0.9869256512230293
BoW,RandomForest,"{'clf__n_estimators': 500, 'vec__max_features': 3000}",0.9858830466485957
BoW,NaiveBayes,{},0.7363853092095283
BoW,SVM,{},0.9655076562096285
BERT,LogReg,{'clf__C': 0.1},0.9694853343797888
BERT,RandomForest,{},0.9550974747000968
BERT,NaiveBayes,{},0.8744342468534642
BERT,SVM,{},0.9694693775403174
